XCoord,YCoord,POINT_X,POINT_Y
1392808.60530075,1138609.65182109,1392808.605300,1138609.651820
1392657.56363407,1138517.20390444,1392657.563630,1138517.203900
1392501.31363408,1138426.05807108,1392501.313630,1138426.058070
1392364.59488408,1138314.07890442,1392364.594880,1138314.078900
1392269.54280072,1138212.51640441,1392269.542800,1138212.516400
1394938.81363405,1137525.01640442,1394938.813630,1137525.016400
1394847.66780078,1137567.98515441,1394847.667800,1137567.985150
1394640.63655077,1137573.19348776,1394640.636550,1137573.193490
1394494.80321738,1137556.26640442,1394494.803220,1137556.266400
1394238.29280072,1137538.03723775,1394238.292800,1137538.037240
1394050.79280077,1137534.13098775,1394050.792800,1137534.130990
1393873.70946741,1137538.03723775,1393873.709470,1137538.037240
1393750.01155077,1137642.20390442,1393750.011550,1137642.203900
1393649.75113411,1137756.78723775,1393649.751130,1137756.787240
1393584.64696740,1137939.07890442,1393584.646970,1137939.078900
1393462.25113408,1138075.79765441,1393462.251130,1138075.797650
1393307.30321743,1138237.25598775,1393307.303220,1138237.255990
1393250.01155072,1138337.51640442,1393250.011550,1138337.516400
1393187.51155071,1138462.51640441,1393187.511550,1138462.516400
1393138.03238407,1138567.98515442,1393138.032380,1138567.985150
1393144.54280075,1138639.59973776,1393144.542800,1138639.599740
1393160.16780071,1138729.44348775,1393160.167800,1138729.443490
1393157.56363407,1138816.68307108,1393157.563630,1138816.683070
1393143.24071743,1138906.52682108,1393143.240720,1138906.526820
1393157.56363407,1139004.18307109,1393157.563630,1139004.183070
1393156.26155074,1139088.81848776,1393156.261550,1139088.818490
1393084.64696740,1139181.26640442,1393084.646970,1139181.266400
1393032.56363410,1139228.14140442,1393032.563630,1139228.141400
1387733.76444423,1133354.09626551,1387733.764440,1133354.096270
1387789.10298589,1133408.34973775,1387789.102990,1133408.349740
1387964.88423593,1133475.62404329,1387964.884240,1133475.624040
1388078.81652756,1133604.74730718,1388078.816530,1133604.747310
1388180.81305535,1133751.23168217,1388180.813060,1133751.231680
1388222.04569425,1133915.07716830,1388222.045690,1133915.077170
1388219.87555534,1134038.77508496,1388219.875560,1134038.775080
1388228.55611093,1134193.94001551,1388228.556110,1134193.940020
1388244.83215255,1134307.87230718,1388244.832150,1134307.872310
1388288.23493037,1134359.95564052,1388288.234930,1134359.955640
1388475.95194425,1134422.88966830,1388475.951940,1134422.889670
1388683.20020813,1134503.18480718,1388683.200210,1134503.184810
1388759.15506923,1134540.07716830,1388759.155070,1134540.077170
1388824.25923589,1134610.60668220,1388824.259240,1134610.606680
1388914.31999983,1134685.47647384,1388914.320000,1134685.476470
1389062.97451368,1134664.86015442,1389062.974510,1134664.860150
1389112.88770816,1134670.28550161,1389112.887710,1134670.285500
1389237.67069425,1134821.11015441,1389237.670690,1134821.110150
1383158.02659702,1127094.83700624,1383158.026600,1127094.837010
1383154.55437478,1127193.79533955,1383154.554370,1127193.795340
1383121.56826369,1127303.17033955,1383121.568260,1127303.170340
1383093.79048590,1127402.12867291,1383093.790490,1127402.128670
1383052.12381920,1127480.25367291,1383052.123820,1127480.253670
1382953.16548587,1127501.08700623,1382953.165490,1127501.087010
1382892.40159698,1127534.07311735,1382892.401600,1127534.073120
1382838.58215258,1127605.25367290,1382838.582150,1127605.253670
1382809.06826366,1127678.17033955,1382809.068260,1127678.170340
1382697.95715255,1127771.92033957,1382697.957150,1127771.920340
